id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
12006000,149500.0,APARTMENT,KOT,Flanders,West Flanders,Kortrijk,8500,50.8247472,3.2711924,2023.0,23.0,,2.0,1.0,MISSING,0,0,0,0.0,0,0.0,0,0,MISSING,,MISSING,GAS,1,
46641000,339000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8210,51.1427884,3.1334936,,98.0,,,2.0,MISSING,0,0,1,13.0,0,0.0,0,0,GOOD,,MISSING,MISSING,1,
77413000,212000.0,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4000,50.6358766,5.5688945,,89.0,,2.0,2.0,MISSING,0,1,1,2.0,0,0.0,0,0,MISSING,252.0,C,GAS,1,1127.0
15874000,350000.0,HOUSE,APARTMENT_BLOCK,Wallonia,Liège,Liège,4460,50.6321701,5.4782828,,323.0,0.0,2.0,3.0,MISSING,0,0,1,15.0,0,0.0,0,0,MISSING,,C,MISSING,1,2007.0
43398000,639000.0,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2650,51.1538672,4.4021293,2024.0,196.0,575.0,3.0,4.0,MISSING,0,0,0,0.0,1,400.0,0,0,AS_NEW,,MISSING,MISSING,1,
24669000,639000.0,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2340,51.3063761,4.8570555,1969.0,,1500.0,4.0,5.0,INSTALLED,0,1,1,,1,,0,0,GOOD,121.0,B,FUELOIL,1,
56820000,296700.0,APARTMENT,APARTMENT,Wallonia,Luxembourg,Marche-en-Famenne,6900,50.221149,5.3453365,,104.0,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,0,GOOD,,MISSING,GAS,1,
46131000,4800000.0,HOUSE,VILLA,Flanders,West Flanders,Brugge,8300,,,1928.0,289.0,879.0,3.0,5.0,HYPER_EQUIPPED,0,0,1,,0,0.0,0,0,TO_BE_DONE_UP,378.0,D,GAS,1,
74618000,289500.0,APARTMENT,DUPLEX,Flanders,West Flanders,Brugge,8340,51.206981,3.3181466,2016.0,100.0,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,0,GOOD,114.0,B,MISSING,0,510.0
35693000,417000.0,HOUSE,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1500,50.7324848,4.2349129,,,403.0,,3.0,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,,MISSING,MISSING,0,
67998000,324146.0,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8370,51.3116382,3.1269903,2021.0,90.0,,2.0,2.0,HYPER_EQUIPPED,0,0,1,7.0,0,0.0,0,0,AS_NEW,30.0,A,MISSING,1,
